,COUNTY,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM
0,mclean,1986,JAN,50.0,35.3,9.0,32.0,29.7,32.0,100.0,81.2,30.3,30.28,29.962,15.0,20.0,9.6,0.0,37.0,19.2,0.0,1.0,0.0,6.0,0.0
1,mclean,1986,FEB,39.0,35.0,32.0,32.0,32.0,32.0,96.0,89.3333333333,29.92,30.21,29.79,10.0,10.0,1.5,0.0,23.0,15.1666666667,0.0,3.0,1.0,6.0,0.0
2,mclean,1986,MAR,64.0,49.3571428571,32.0,32.0,32.0,32.0,96.0,55.5714285714,29.0,30.58,29.9114285714,7.0,20.0,11.4285714286,0.0,52.0,22.1428571429,0.0,4.0,0.0,6.0,0.0
3,mclean,1986,ARP,90.0,56.1851851852,29.0,50.0,32.2962962963,22.0,100.0,41.9259259259,13.0,30.28,29.9485185185,29.57,20.0,14.1851851852,0.0,30.0,14.8148148148,0.0,5.0,1.0,4.0,1.0
4,mclean,1986,MAY,86.0,65.2580645161,41.0,32.0,32.0,32.0,70.0,28.7096774194,14.0,31.07,29.9770967742,29.68,20.0,11.3225806452,0.0,40.0,12.0,0.0,7.0,0.0,11.0,4.0
5,mclean,1986,JUN,98.0,74.7333333333,52.0,32.0,32.0,32.0,47.0,20.3666666667,10.0,30.28,29.9873333333,29.63,20.0,11.0666666667,0.0,25.0,10.2666666667,0.0,8.0,0.0,10.0,6.0
6,mclean,1986,JUL,93.0,79.064516129,60.0,32.0,32.0,32.0,35.0,17.3225806452,11.0,30.27,30.0103225806,29.72,20.0,10.935483871,0.0,29.0,9.87096774194,0.0,8.0,0.0,8.0,5.0
7,mclean,1986,AUG,91.0,70.935483871,44.0,70.0,32.0967741935,32.0,87.0,23.0322580645,12.0,30.37,30.0793548387,29.83,20.0,12.8064516129,0.0,22.0,8.64516129032,0.0,4.0,0.0,13.0,1.0
8,mclean,1986,SEP,90.0,70.4333333333,48.0,32.0,32.0,32.0,54.0,24.3,13.0,30.4,30.051,29.6,20.0,10.9666666667,0.0,29.0,11.1666666667,0.0,10.0,0.0,14.0,3.0
9,mclean,1986,OCT,75.0,56.0967741935,32.0,32.0,32.0,32.0,100.0,40.4516129032,21.0,30.48,30.1032258065,29.7,20.0,10.5806451613,0.0,29.0,12.1290322581,0.0,9.0,0.0,18.0,1.0
10,mclean,1986,NOV,63.0,40.037037037,31.0,32.0,31.962962963,22.0,100.0,74.2592592593,31.0,30.54,30.1155555556,29.66,20.0,8.66666666667,0.0,29.0,13.5185185185,0.0,6.0,0.0,19.0,0.0
11,mclean,1986,DEC,46.0,36.0,32.0,38.0,32.0,32.0,100.0,86.1739130435,56.0,30.55,30.1260869565,29.74,20.0,7.65217391304,0.0,29.0,13.4347826087,0.0,4.0,3.0,19.0,0.0
12,mclean,1987,JAN,48.0,36.3,32.0,32.0,32.0,32.0,100.0,84.9,29.74,30.38,30.011,10.0,15.0,7.8,2.0,31.0,16.8,0.0,1.0,0.0,8.0,0.0
13,mclean,1987,FEB,50.0,39.5833333333,32.0,32.0,32.0,32.0,100.0,75.75,50.0,30.44,30.1383333333,29.23,20.0,10.6666666667,0.0,34.0,12.8333333333,0.0,1.0,0.0,6.0,0.0
14,mclean,1987,MAR,73.0,44.8387096774,32.0,32.0,32.0,32.0,100.0,63.4193548387,21.0,30.54,30.0277419355,29.2,20.0,11.8709677419,0.0,34.0,16.1935483871,0.0,6.0,1.0,15.0,0.0
15,mclean,1987,ARP,87.0,53.8,32.0,32.0,32.0,32.0,100.0,45.2333333333,14.0,30.35,29.9683333333,29.53,20.0,13.6,0.0,34.0,13.6,0.0,8.0,0.0,9.0,2.0
16,mclean,1987,MAY,91.0,68.2580645161,37.0,32.0,32.0,32.0,79.0,25.8709677419,12.0,30.36,30.0393548387,29.7,20.0,12.6451612903,1.0,29.0,12.0967741935,0.0,5.0,0.0,11.0,5.0
17,mclean,1987,JUN,97.0,74.5,51.0,32.0,32.0,32.0,48.0,20.4666666667,10.0,30.3,29.9796666667,29.68,20.0,11.6,1.0,25.0,10.2333333333,0.0,7.0,0.0,10.0,5.0
18,mclean,1987,JUL,95.0,76.7741935484,55.0,32.0,32.0,32.0,40.0,19.064516129,11.0,30.28,30.0209677419,29.81,20.0,8.29032258065,0.0,23.0,11.5806451613,0.0,11.0,0.0,23.0,8.0
19,mclean,1987,AUG,96.0,73.7419354839,53.0,32.0,32.0,32.0,45.0,21.7741935484,10.0,30.39,30.0306451613,29.72,20.0,11.0322580645,0.0,58.0,10.935483871,0.0,11.0,0.0,18.0,8.0
20,mclean,1987,SEP,89.0,67.1666666667,46.0,32.0,32.0,32.0,56.0,27.1333333333,13.0,30.24,30.0,29.63,20.0,12.4333333333,0.0,29.0,10.6,0.0,6.0,0.0,11.0,2.0
21,mclean,1987,OCT,73.0,49.5333333333,32.0,32.0,32.0,32.0,100.0,52.3666666667,21.0,30.48,30.1163333333,29.63,20.0,13.6333333333,1.0,34.0,13.4,0.0,10.0,0.0,10.0,1.0
22,mclean,1987,NOV,75.0,45.7666666667,18.0,42.0,31.5666666667,32.0,100.0,61.5666666667,20.0,30.48,30.0803333333,20.0,20.0,12.0333333333,0.0,34.0,14.8333333333,0.0,11.0,2.0,10.0,2.0
23,mclean,1987,DEC,54.0,37.0416666667,32.0,32.0,32.0,32.0,100.0,83.9166666667,29.89,30.39,29.92625,10.0,20.0,9.95833333333,0.0,43.0,17.5416666667,0.0,10.0,3.0,14.0,0.0
24,mclean,1988,JAN,54.0,37.9333333333,32.0,32.0,32.0,32.0,100.0,80.2666666667,43.0,30.53,29.96,29.36,20.0,9.93333333333,0.0,40.0,20.0,0.0,3.0,2.0,6.0,1.0
25,mclean,1988,FEB,61.0,38.6363636364,32.0,32.0,32.0,32.0,100.0,77.2727272727,34.0,30.24,29.9309090909,29.38,20.0,11.2727272727,0.0,34.0,16.0909090909,0.0,3.0,1.0,5.0,0.0
26,mclean,1988,MAR,70.0,43.4814814815,32.0,32.0,32.0,32.0,100.0,66.0,25.0,30.38,30.0203703704,29.46,20.0,11.3703703704,0.0,51.0,15.7037037037,0.0,6.0,2.0,13.0,4.0
27,mclean,1988,ARP,82.0,51.5666666667,34.0,32.0,32.0,32.0,92.0,47.2666666667,16.0,30.24,29.907,29.44,20.0,14.4333333333,0.0,40.0,16.1,0.0,8.0,0.0,8.0,5.0
28,mclean,1988,MAY,91.0,66.1290322581,39.0,32.0,32.0,32.0,76.0,26.935483871,12.0,30.31,29.9893548387,29.53,20.0,15.0967741935,1.0,69.0,12.8387096774,0.0,6.0,0.0,3.0,2.0
29,mclean,1988,JUN,99.0,74.2666666667,48.0,32.0,32.0,32.0,54.0,20.5666666667,10.0,30.34,30.0556666667,29.68,20.0,13.6,3.0,23.0,11.2,0.0,3.0,0.0,1.0,1.0
30,mclean,1988,JUL,98.0,78.5483870968,50.0,60.0,32.064516129,32.0,71.0,18.1290322581,10.0,30.25,30.0509677419,29.87,20.0,11.7741935484,0.0,23.0,7.51612903226,0.0,5.0,0.0,14.0,3.0
31,mclean,1988,AUG,99.0,78.1612903226,53.0,73.0,32.1290322581,32.0,58.0,18.7096774194,10.0,30.2,30.0093548387,29.73,20.0,11.5806451613,2.0,29.0,9.35483870968,0.0,5.0,0.0,16.0,2.0
32,mclean,1988,SEP,90.0,68.8,48.0,71.0,32.1,32.0,77.0,25.9666666667,13.0,30.28,30.0323333333,29.48,20.0,13.1666666667,0.0,40.0,10.3333333333,0.0,5.0,0.0,13.0,2.0
33,mclean,1988,OCT,75.0,49.5161290323,32.0,32.0,31.9032258065,12.0,100.0,53.0967741935,21.0,30.56,30.1025806452,29.5,20.0,15.9032258065,0.0,34.0,12.8064516129,0.0,5.0,0.0,8.0,2.0
34,mclean,1988,NOV,64.0,42.4333333333,32.0,32.0,32.0,32.0,100.0,69.2666666667,30.0,30.4,29.9003333333,29.24,20.0,12.3666666667,0.0,34.0,15.2333333333,0.0,8.0,3.0,15.0,3.0
35,mclean,1988,DEC,57.0,40.1176470588,32.0,32.0,32.0,32.0,100.0,73.8235294118,39.0,30.63,30.0370588235,29.58,20.0,12.8823529412,0.0,34.0,16.3529411765,0.0,5.0,1.0,4.0,0.0
36,mclean,1989,JAN,66.0,39.0,32.0,32.0,32.0,32.0,100.0,77.5833333333,28.0,30.58,30.0504166667,29.46,20.0,12.2916666667,0.0,32.0,14.875,0.0,5.0,1.0,12.0,1.0
37,mclean,1989,FEB,45.0,33.6666666667,32.0,32.0,32.0,32.0,100.0,93.3333333333,60.0,30.66,30.11,29.67,15.0,7.83333333333,0.0,29.0,13.5,0.0,1.0,3.0,4.0,0.0
38,mclean,1989,MAR,73.0,44.56,30.0,32.0,31.92,1.0,100.0,65.08,21.0,30.54,30.0484,29.24,20.0,9.96,0.0,29.0,13.96,0.0,6.0,1.0,14.0,2.0
39,mclean,1989,ARP,87.0,51.2333333333,32.0,50.0,32.0333333333,32.0,100.0,50.3333333333,14.0,30.42,29.9913333333,29.59,20.0,11.6666666667,0.0,46.0,12.7333333333,0.0,14.0,1.0,13.0,3.0
